PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
KJB413;VALLE;GUACARI;PARTICULAR
KJB415;VALLE;GUACARI;PARTICULAR
KJB417;VALLE;GUACARI;PARTICULAR
XJB412;BOYACA;PUERTO BOYAC;PUBLICO
XJB413;BOYACA;PUERTO BOYAC;PUBLICO
XJB414;BOYACA;PUERTO BOYAC;PUBLICO
BRB419;SANTANDER;BUCARAMANGA;PARTICULAR
CXB414;MAGDALENA;CIENAGA;PARTICULAR
CZB410;MAGDALENA;CIENAGA;PARTICULAR
DDC410;CALDAS;LA DORADA;PARTICULAR
KJC410;VALLE;GUACARI;PARTICULAR
KJC411;VALLE;GUACARI;PARTICULAR
KJC412;VALLE;GUACARI;PARTICULAR
KJC413;VALLE;GUACARI;PARTICULAR
KJC414;VALLE;GUACARI;PARTICULAR
KJC415;VALLE;GUACARI;PARTICULAR
KJC416;VALLE;GUACARI;PARTICULAR
KJC418;VALLE;GUACARI;PARTICULAR
KJC419;VALLE;GUACARI;PARTICULAR
VRC412;NARINO;LA MACARENA;PUBLICO
TUC419;BOLIVAR;TURBACO;PUBLICO
CVC417;MAGDALENA;CIENAGA;PARTICULAR
BYC410;VALLE;CALI;PARTICULAR
DCD410;CALDAS;LA DORADA;PARTICULAR
OCD416;VALLE;CANDELARIA;OFICIAL
COD416;NORTESANTAN;CONVENCION;PARTICULAR
WOD413;QUINDIO;CALARCA;PUBLICO
SPD413;CUNDINAMARCA;CHIA;PUBLICO
JRD415;TOLIMA;GUAMO;PARTICULAR
BSD410;SANTANDER;BUCARAMANGA;PARTICULAR
KTD419;VALLE;GUACARI;PARTICULAR
XTD419;SANTANDER;S VICEN CHUC;PUBLICO
OUD412;CALDAS;MANZANARES;OFICIAL
CXD411;MAGDALENA;CIENAGA;PARTICULAR
VFE416;CALDAS;VILLAMARIA;PUBLICO
DLE414;CALDAS;LA DORADA;PARTICULAR
SPE410;CUNDINAMARCA;CHIA;PUBLICO
BRE414;SANTANDER;BUCARAMANGA;PARTICULAR
BRE416;SANTANDER;BUCARAMANGA;PARTICULAR
BSE416;SANTANDER;BUCARAMANGA;PARTICULAR
XTE413;SANTANDER;S VICEN CHUC;PUBLICO
CWE417;MAGDALENA;CIENAGA;PARTICULAR
JCF410;BOYACA;GUATEQUE;PARTICULAR
UCF410;BOLIVAR;MAGANGUE;PUBLICO
BTF416;SANTANDER;BUCARAMANGA;PARTICULAR
RTF412;BOGOTAD.E.;BOGOTA D.E.;PUBLICO
BWF418;ANTIOQUIA;SABANETA;PARTICULAR
TNG416;ANTIOQUIA;BELLO;PUBLICO
BTG419;SANTANDER;BUCARAMANGA;PARTICULAR
BYG411;VALLE;CALI;PARTICULAR
EYG411;CUNDINAMARCA;UBATE;PARTICULAR
DAH418;MAGDALENA;CIENAGA;PARTICULAR
VDH413;CALDAS;VILLAMARIA;PUBLICO
KGH413;ANTIOQUIA;MEDELLIN;PARTICULAR
IOH412;CASANARE;YOPAL;PARTICULAR
BRH410;SANTANDER;BUCARAMANGA;PARTICULAR
CVH413;MAGDALENA;CIENAGA;PARTICULAR
DCI412;CALDAS;LA DORADA;PARTICULAR
OCI412;VALLE;CANDELARIA;OFICIAL
CDI413;VALLE;CALI;PARTICULAR
PFI419;PUTUMAYO;PUERTO ASIS;PARTICULAR
WFI414;CALDAS;RIOSUCIO;PUBLICO
SII414;MAGDALENA;CIENAGA;PUBLICO
VII411;CALDAS;VILLAMARIA;PUBLICO
XII411;BOYACA;DUITAMA;PUBLICO
GLI415;CUNDINAMARCA;FUSAGASUGA;PARTICULAR
TLI417;ANTIOQUIA;ENVIGADO;PUBLICO
CQI416;CUNDINAMARCA;CAQUEZA;PARTICULAR
LSI414;SANTANDER;BARBOSA;PARTICULAR
TUI417;BOLIVAR;TURBACO;PUBLICO
CVI411;MAGDALENA;CIENAGA;PARTICULAR
CWI410;MAGDALENA;CIENAGA;PARTICULAR
IWI411;NORTESANTAN;CONVENCION;PARTICULAR
FYI410;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYI411;CUNDINAMARCA;FACATATIVA;PARTICULAR
COJ418;NORTESANTAN;CONVENCION;PARTICULAR
CQJ416;CUNDINAMARCA;CAQUEZA;PARTICULAR
BRJ419;SANTANDER;BUCARAMANGA;PARTICULAR
KBK419;ANTIOQUIA;MEDELLIN;PARTICULAR
DCK412;CALDAS;LA DORADA;PARTICULAR
JCK414;BOYACA;GUATEQUE;PARTICULAR
