PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
BOJ472;BOLIVAR;TURBACO;PARTICULAR
UQY815;NORTESANTAN;CUCUTA;PUBLICO
JID629;BOYACA;DUITAMA;PARTICULAR
COW289;CUNDINAMARCA;MINISTERIO T;PUBLICO
BDZ953;BOLIVAR;TURBACO;PARTICULAR
TEL973;CESAR;ROBLES (LA P;PUBLICO
MMZ715;BOYACA;MONIQUIRA;PARTICULAR
ICC702;SANTANDER;BUCARAMANGA;PARTICULAR
BNU947;BOLIVAR;TURBACO;PARTICULAR
APG965;ANTIOQUIA;APARTADO;PARTICULAR
IDF991;SANTANDER;BUCARAMANGA;PARTICULAR
ZGE080;SANTANDER;SAN GIL;PARTICULAR
NAJ407;VALLE;CALI;PARTICULAR
CJD815;CUNDINAMARCA;CHIA;PARTICULAR
BJI795;BOLIVAR;TURBACO;PARTICULAR
NAR301;VALLE;CALI;PARTICULAR
QFQ215;META;VILLAVICENCI;PARTICULAR
AXX233;CAUCA;TIMBIO;PARTICULAR
BIL228;BOLIVAR;TURBACO;PARTICULAR
DOA350;RISARALDA;DOS QUEBRADA;PARTICULAR
LAV599;ANTIOQUIA;MEDELLIN;PARTICULAR
OUC000;CALDAS;CHINCHINA;OFICIAL
ZGC084;SANTANDER;SAN GIL;PARTICULAR
BGW658;BOLIVAR;TURBACO;PARTICULAR
BLC934;BOLIVAR;TURBACO;PARTICULAR
MQD094;TOLIMA;MARIQUITA;PARTICULAR
QES635;MAGDALENA;SANTA MARTA;PARTICULAR
BAL222;BOLIVAR;TURBACO;PARTICULAR
BLT921;BOLIVAR;TURBACO;PARTICULAR
ZGD928;SANTANDER;SAN GIL;PARTICULAR
CKS132;QUINDIO;CALARCA;PARTICULAR
QFQ487;META;VILLAVICENCI;PARTICULAR
BHW046;BOLIVAR;TURBACO;PARTICULAR
SOT096;ANTIOQUIA;SABANETA;PUBLICO
BPI521;BOLIVAR;TURBACO;PARTICULAR
CIC422;CUNDINAMARCA;CHIA;PARTICULAR
CFC165;VALLE;CALI;PARTICULAR
BPM421;BOLIVAR;SAN JUANNEP;PARTICULAR
COX408;CUNDINAMARCA;MINISTERIO T;PUBLICO
CRZ225;CUNDINAMARCA;LA CALERA;PARTICULAR
VCX671;CALDAS;VILLAMARIA;PUBLICO
OFP348;SANTANDER;FLORIDABLANC;OFICIAL
WZH389;TOLIMA;MELGAR;PUBLICO
BHN133;BOLIVAR;TURBACO;PARTICULAR
VCT139;CALDAS;VILLAMARIA;PUBLICO
QGA290;ATLANTICO;BARRANQUILLA;PARTICULAR
BFO526;BOLIVAR;TURBACO;PARTICULAR
BUB185;BOLIVAR;TURBACO;PARTICULAR
BPT849;BOLIVAR;SAN JUANNEP;PARTICULAR
COW515;CUNDINAMARCA;MINISTERIO T;PUBLICO
FAQ242;CUNDINAMARCA;SOACHA;PARTICULAR
VAN388;VALLE;CALI;PUBLICO
JAE965;BOYACA;TUNJA;PARTICULAR
BMI648;BOLIVAR;TURBACO;PARTICULAR
CIJ085;CUNDINAMARCA;CHIA;PARTICULAR
CGD030;CUNDINAMARCA;CHIA;PARTICULAR
CJK730;VALLE;CALI;PARTICULAR
DXV816;META;RESTREPO;PARTICULAR
MQK165;TOLIMA;MARIQUITA;PARTICULAR
BOK517;BOLIVAR;TURBACO;PARTICULAR
RED807;VALLE;CALI;PARTICULAR
JVD120;HUILA;NEIVA;PARTICULAR
JJA497;BOYACA;CHIQUINQUIRA;PARTICULAR
FTO095;CUNDINAMARCA;MOSQUERA;PARTICULAR
ZTA184;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
MQK928;TOLIMA;MARIQUITA;PARTICULAR
DUE752;CESAR;VALLEDUPAR;PARTICULAR
BVB691;BOLIVAR;TURBACO;PARTICULAR
CIV995;CUNDINAMARCA;CHIA;PARTICULAR
ZGC426;SANTANDER;SAN GIL;PARTICULAR
DUB936;CESAR;VALLEDUPAR;PARTICULAR
UFT408;MAGDALENA;SANTA MARTA;PUBLICO
QGS495;CUNDINAMARCA;CHIA;PARTICULAR
BMW756;BOLIVAR;TURBACO;PARTICULAR
LXB834;ANTIOQUIA;ENVIGADO;PARTICULAR
