RANGO_INICIAL;RANGO_FINAL;DEPARTAMENTO;CIUDAD;SERVICIO
DQA000;DQA999;RISARALDA;DOS QUEBRADA;PARTICULAR
DUA000;DUE999;BOYACA;DUITAMA;PARTICULAR
DVA000;DVE999;CESAR;VALLEDUPAR;PARTICULAR
DVN000;DVR999;INT DEL CAQU;EL PAUJIL;PARTICULAR
DVS000;DVS999;CUNDINAMARCA;PACHO;PARTICULAR
DVT000;DVX999;CAQUETA;BELEN ANDAQU;PARTICULAR
DWR000;DWV999;CESAR;ROBLES (LA P;PARTICULAR
DWW000;DWW999;HUILA;TARQUI;PARTICULAR
DWX000;DWZ999;CESAR;BOSCONIA;PARTICULAR
DXP000;DXT999;RISARALDA;DOS QUEBRADA;PARTICULAR
DXU000;DXU999;ANTIOQUIA;URRAO;PARTICULAR
DXV000;DXZ999;META;ACACIAS;PARTICULAR
DYG000;DYL999;META;RESTREPO;PARTICULAR
DYM000;DYM999;CASANARE;YOPAL;PARTICULAR
DYN000;DYR999;META;RESTREPO;PARTICULAR
DYS000;DYS999;ANTIOQUIA;STA ROSAD O;PARTICULAR
DYT000;DYX999;META;GRANADA;PARTICULAR
DZK000;DZP999;SUCRE;SAMPUES;PARTICULAR
ECA000;ECZ999;VALLE;BUENAVENTURA;PARTICULAR
EDK000;EDO999;BOYACA;SABOYA;PARTICULAR
EDP000;EDT999;SANTANDER;VELEZ;PARTICULAR
EEA000;EEZ999;VALLE;LA UNION;PARTICULAR
EGA000;EGH999;TOLIMA;ESPINAL;PARTICULAR
EJA000;EJJ999;SANTANDER;BARRANCABERM;PARTICULAR
EKA000;EKJ999;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
EKK000;EKZ999;ANTIOQUIA;SABANETA;PARTICULAR
ELA000;ELJ999;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
EMA000;EMB499;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
EMJ000;EMJ999;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
EMK000;EMK100;CALDAS;ARANZAZU;PARTICULAR
EPA000;EPE999;TOLIMA;ESPINAL;PARTICULAR
ERM000;ERQ999;VALLE;LA UNION;PARTICULAR
ERS000;ERW999;NARINO;SANDONA;PARTICULAR
ERX000;ERZ999;NARINO;TUMACO;PARTICULAR
ETO000;ETS999;ATLANTICO;MALAMBO;PARTICULAR
